City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
238,Saint George,US,2021-11-20 18:00:07,37.1041,-113.5841,64.87,23,99,1.03
239,Broome,US,2021-11-20 18:00:19,42.2506,-75.833,43.18,66,99,3.0
240,Dunedin,NZ,2021-11-20 18:00:19,-45.8742,170.5036,52.86,81,100,2.46
241,Asau,RO,2021-11-20 18:00:19,46.4333,26.4,45.95,61,42,6.31
242,Kloulklubed,PW,2021-11-20 18:00:20,7.0419,134.2556,84.24,76,36,11.81
243,Izhmorskiy,RU,2021-11-20 18:00:20,56.194,86.6414,14.23,88,100,13.98
244,Hasaki,JP,2021-11-20 17:55:59,35.7333,140.8333,46.69,60,38,5.59
245,Port Hardy,CA,2021-11-20 18:00:20,50.6996,-127.4199,44.83,83,100,9.01
246,Loralai,PK,2021-11-20 18:00:21,30.3705,68.598,51.1,27,0,4.03
247,Hambantota,LK,2021-11-20 18:00:21,6.1241,81.1185,77.94,73,80,14.81
248,Mubi,NG,2021-11-20 18:00:21,10.2676,13.2644,81.21,21,0,6.73
249,Gombong,ID,2021-11-20 18:00:22,-7.6072,109.5142,77.59,87,80,0.49
250,Pakxe,LA,2021-11-20 18:00:22,15.1167,105.7833,75.29,86,90,2.53
251,Esperance,AU,2021-11-20 18:00:22,-33.8667,121.9,56.97,77,3,16.64
252,Cockburn Town,TC,2021-11-20 17:50:37,21.4612,-71.1419,82.36,78,40,13.8
253,Puerto Leguizamo,CO,2021-11-20 18:00:23,-0.1934,-74.7819,93.15,38,77,3.02
254,Matamoros,MX,2021-11-20 17:59:32,25.5333,-103.25,72.95,38,0,3.22
255,Auki,SB,2021-11-20 18:00:23,-8.7676,160.7034,77.0,83,97,1.3
256,Severomuysk,RU,2021-11-20 18:00:23,56.1481,113.4267,-6.54,98,100,1.68
257,Vila Velha,BR,2021-11-20 17:59:07,-20.3297,-40.2925,73.35,96,75,11.01
258,Darlowo,PL,2021-11-20 18:00:24,54.421,16.4107,52.95,86,100,24.11
259,Viedma,AR,2021-11-20 18:00:24,-40.8135,-62.9967,87.24,17,3,11.63
260,Gavle,SE,2021-11-20 17:56:11,60.6745,17.1417,35.51,87,82,4.0
261,La Ronge,CA,2021-11-20 18:00:25,55.1001,-105.2842,19.62,79,90,9.22
262,Xuddur,SO,2021-11-20 18:00:25,4.1213,43.8894,80.35,37,49,9.28
263,Toora-Khem,RU,2021-11-20 18:00:25,52.4675,96.11,-6.3,89,97,2.89
264,Port Macquarie,AU,2021-11-20 18:00:26,-31.4333,152.9167,66.09,100,75,3.44
265,Severo-Kurilsk,RU,2021-11-20 18:00:26,50.6789,156.125,35.4,97,99,4.03
266,Korla,CN,2021-11-20 18:00:26,41.7597,86.1469,28.29,53,0,2.77
267,Thinadhoo,MV,2021-11-20 18:00:27,0.5333,72.9333,81.25,80,93,16.98
268,Adrar,MR,2021-11-20 18:00:27,20.5022,-10.0711,84.51,19,83,8.05
269,Puerto Del Rosario,ES,2021-11-20 18:00:27,28.5004,-13.8627,67.75,68,20,3.44
